timestamp,depth,DOmg/L,Dopct,pH,cond,Turbidity,temp
1/1/2014 0:10,1.868,11.11,82.4,7.24,6.347,49.3,2.08
1/1/2014 0:25,1.78,11.11,82.3,7.28,6.329,52.7,2.07
1/1/2014 0:40,1.688,11.12,82.5,7.29,6.335,49.6,2.07
1/1/2014 0:55,1.606,11.1,82.2,7.24,6.328,52.5,2.03
1/1/2014 1:10,1.53,10.97,81.2,7.24,6.303,50.4,2.03
1/1/2014 1:25,1.456,10.7,79.2,7.23,6.27,48.7,2.02
1/1/2014 1:40,1.386,10.63,78.6,7.22,6.25,47.1,1.96
1/1/2014 1:55,1.324,10.57,78.1,7.2,6.262,45.5,1.96
1/1/2014 2:10,1.268,10.42,77,7.23,6.239,50.8,1.94
1/1/2014 2:25,1.216,10.34,76.4,7.23,6.239,46,1.97
1/1/2014 2:40,1.169,10.02,74,7.16,6.245,43.8,1.96
1/1/2014 2:55,1.137,9.68,71.5,7.17,6.237,43.2,1.92
1/1/2014 3:10,1.102,9.76,71.9,7.11,6.21,44.4,1.86
1/1/2014 3:25,1.083,9.82,72.2,7.1,6.201,39.2,1.81
1/1/2014 3:40,1.062,9.9,72.6,7.14,6.182,42.4,1.71
1/1/2014 3:55,1.045,9.89,72.4,7.09,6.165,42.3,1.67
1/1/2014 4:10,1.034,9.84,71.9,7.09,6.166,41.2,1.53
1/1/2014 4:25,1.034,10.13,73.7,7.15,6.163,41.9,1.41
1/1/2014 4:40,1.04,10.46,76,7.15,6.149,42.3,1.37
1/1/2014 4:55,1.072,10.56,76.7,7.12,6.142,42.4,1.33
1/1/2014 5:10,1.118,10.75,77.9,7.17,6.12,43.1,1.27
1/1/2014 5:25,1.182,10.87,78.6,7.13,6.11,42.6,1.21
1/1/2014 5:40,1.252,11.03,79.7,7.15,6.068,42.8,1.18
1/1/2014 5:55,1.32,10.44,75.7,7.19,5.966,45.6,1.3
1/1/2014 6:10,1.408,10.37,75.1,7.14,5.921,44.6,1.27
1/1/2014 6:25,1.5,10.39,75.1,7.13,5.906,46.7,1.18
1/1/2014 6:40,1.59,10.34,74.6,7.13,5.899,46.1,1.12
1/1/2014 6:55,1.681,10.36,74.6,7.12,5.896,51.4,1.08
1/1/2014 7:10,1.768,10.28,73.9,7.12,5.926,48.1,0.99
1/1/2014 7:25,1.855,10.32,74,7.13,5.974,50.5,0.9
1/1/2014 7:40,1.942,10.33,73.8,7.13,6.037,52,0.79
1/1/2014 7:55,2.03,10.36,73.7,7.14,6.104,53,0.6
1/1/2014 8:10,2.114,10.39,73.8,7.15,6.175,50.9,0.52
1/1/2014 8:25,2.196,10.48,74.1,7.19,6.277,48.8,0.36
1/1/2014 8:40,2.268,10.52,74.2,7.14,6.376,51.1,0.25
1/1/2014 8:55,2.334,10.48,73.8,7.19,6.456,50.6,0.18
1/1/2014 9:10,2.392,10.43,73.7,7.19,6.446,52.7,0.32
1/1/2014 9:25,2.442,10.51,74.6,7.19,6.358,57,0.5
1/1/2014 9:40,2.481,10.4,73.8,7.19,6.362,51,0.48
1/1/2014 9:55,2.517,10.39,74.1,7.13,6.257,52.3,0.64
1/1/2014 10:10,2.539,10.44,74.2,7.13,6.265,50.2,0.57
1/1/2014 10:25,2.551,10.32,73.6,7.16,6.212,47,0.65
1/1/2014 10:40,2.561,10.5,74.9,7.16,6.144,50.1,0.7
1/1/2014 10:55,2.555,10.48,74.8,7.17,6.092,47.2,0.71
1/1/2014 11:10,2.536,10.39,74.2,7.11,6.069,46,0.75
1/1/2014 11:25,2.506,10.39,74.3,7.1,6.049,44.5,0.81
1/1/2014 11:40,2.463,10.38,74.3,7.1,6.041,44.2,0.84
1/1/2014 11:55,2.408,10.23,73.2,7.14,6.049,45.4,0.79
1/1/2014 12:10,2.341,10.47,75.8,7.11,6.031,49.5,1.24
1/1/2014 12:25,2.251,10.92,80.3,7.12,6.095,52.8,1.78
1/1/2014 12:40,2.155,11.14,82.1,7.2,6.154,49.3,1.86
1/1/2014 12:55,2.06,11.26,83.4,7.17,6.32,53.6,2.03
1/1/2014 13:10,1.968,11.27,83.1,7.24,6.272,57.3,1.9
1/1/2014 13:25,1.881,11.24,82.7,7.25,6.175,48.2,1.8
1/1/2014 13:40,1.796,11.05,81.2,7.2,6.1,55.8,1.78
1/1/2014 13:55,1.719,10.88,80,7.24,6.026,46.9,1.78
1/1/2014 14:10,1.643,10.74,78.9,7.22,5.949,49.2,1.78
1/1/2014 14:25,1.565,10.71,78.8,7.16,5.937,48.2,1.81
1/1/2014 14:40,1.494,10.79,79.3,7.22,5.902,53,1.8
1/1/2014 14:55,11.885,10.81,79.4,7.22,5.89,46.7,1.79
1/1/2014 15:10,11.823,10.77,79.1,7.16,5.878,47.9,1.79
1/1/2014 15:25,11.766,10.88,79.9,7.16,5.868,48.2,1.81
1/1/2014 15:40,11.712,10.94,80.6,7.2,5.859,45.8,1.9
1/1/2014 15:55,11.671,10.94,80.5,7.23,5.827,46.5,1.89
1/1/2014 16:10,11.638,10.94,80.5,7.16,5.819,44.9,1.87
1/1/2014 16:25,11.612,10.85,79.8,7.2,5.805,44.4,1.86
1/1/2014 16:40,11.593,10.97,80.7,7.19,5.795,43.3,1.84
1/1/2014 16:55,11.575,11.04,81.1,7.19,5.765,45.2,1.82
