"DeploymentID","TimeStamp","Temp","pH","pHmv","Cond","DOpct","DOmgl","DOgain","Turbidity","Depth","KnownInvaildValue"
"2","2018-11-07 16:15:00","11.04","7.25","20.7","0.846","53","5.83","-999","1.1","3.324","1"
"2","2018-11-07 16:00:00","11.04","7.24","21.3","0.853","49.9","5.49","-999","1.1","3.32","1"
"2","2018-11-07 15:45:00","11.05","7.24","21.4","0.85","50.1","5.5","-999","1.2","3.313","1"
"2","2018-11-07 15:30:00","11.05","7.26","20.2","0.845","52.4","5.75","-999","314.1","3.3","1"
"2","2018-11-07 15:15:00","11.03","7.28","19.5","0.846","52","5.71","-999","0.9","3.308","1"
"2","2018-11-07 15:00:00","11.05","7.27","19.7","0.839","53.7","5.9","-999","1.5","3.303","1"
"2","2018-11-07 14:45:00","11.04","7.26","20.4","0.858","49.1","5.4","-999","426.4","3.299","1"
"2","2018-11-07 14:30:00","11.04","7.28","19.5","0.853","50","5.49","-999","7.1","3.292","1"
"2","2018-11-07 14:15:00","11.03","7.28","19.5","0.856","48.5","5.33","-999","1.3","3.302","1"
"2","2018-11-07 14:00:00","11.03","7.29","19.1","0.842","50.8","5.58","-999","1.3","3.306","1"
"2","2018-11-07 13:45:00","11.03","7.29","19","0.86","51.5","5.66","-999","268.9","3.306","1"
"2","2018-11-07 13:30:00","11.01","7.29","19.1","0.854","50.3","5.53","-999","113.1","3.31","1"
"2","2018-11-07 13:15:00","11.02","7.3","18.7","0.847","54.2","5.96","-999","0.3","3.304","1"
"2","2018-11-07 13:00:00","11.01","7.3","18.4","0.851","50.1","5.51","-999","228.5","3.307","1"
"2","2018-11-07 12:45:00","11.03","7.31","18.3","0.831","55.8","6.13","-999","205.4","3.306","1"
"2","2018-11-07 12:30:00","11.01","7.31","17.9","0.838","46.6","5.12","-999","0.9","3.319","1"
"2","2018-11-07 12:15:00","11.01","7.32","17.4","0.835","53.2","5.85","-999","312.5","3.329","1"
"2","2018-11-07 12:00:00","11.01","7.33","17","0.833","46.4","5.1","-999","4.1","3.342","1"
"2","2018-11-07 11:45:00","11","7.35","16.2","0.842","51.7","5.69","-999","0.5","3.357","1"
"2","2018-11-07 11:30:00","11.02","7.37","15.6","0.842","48.7","5.36","-999","0.7","3.356","1"
"2","2018-11-07 11:15:00","11.02","7.38","15.1","0.849","46.1","5.07","-999","6.2","3.367","1"
"2","2018-11-07 11:00:00","11.01","7.4","14.1","0.85","50","5.5","-999","180.8","3.372","1"
"2","2018-11-07 10:45:00","11.01","7.39","14.4","0.85","50.4","5.54","-999","304.1","3.379","1"
"2","2018-11-07 10:30:00","11","7.39","14.2","0.849","50.3","5.53","-999","23.1","3.374","1"
"2","2018-11-07 10:15:00","10.99","7.4","14.2","0.847","52.3","5.75","-999","1.3","3.379","1"
"2","2018-11-07 10:00:00","10.99","7.39","14.6","0.844","53.1","5.84","-999","0.2","3.374","1"
"2","2018-11-07 09:45:00","10.99","7.38","14.9","0.853","51.4","5.65","-999","228.8","3.373","1"
"2","2018-11-07 09:30:00","10.99","7.38","14.9","0.852","50.3","5.54","-999","0.2","3.378","1"
"2","2018-11-07 09:15:00","10.99","7.37","15.3","0.85","52.1","5.73","-999","1.1","3.371","1"
"2","2018-11-07 09:00:00","10.99","7.35","16.3","0.851","50.9","5.6","-999","96.4","3.37","1"
"2","2018-11-07 08:45:00","10.99","7.31","17.9","0.852","49.2","5.41","-999","0.8","3.356","1"
"2","2018-11-07 08:30:00","10.99","7.35","16.4","0.852","50.7","5.58","-999","81.3","3.342","1"
"2","2018-11-07 08:15:00","10.99","7.33","17.1","0.852","49.4","5.44","-999","22.9","3.334","1"
"2","2018-11-07 08:00:00","11","7.32","17.7","0.852","49.7","5.47","-999","16.7","3.329","1"
"2","2018-11-07 07:45:00","10.99","7.4","13.9","0.853","51","5.61","-999","1.1","3.32","1"
"2","2018-11-07 07:30:00","10.99","7.42","13.2","0.854","50.6","5.57","-999","22.4","3.313","1"
"2","2018-11-07 07:15:00","10.99","7.43","12.7","0.854","49.1","5.4","-999","7.1","3.304","1"
"2","2018-11-07 07:00:00","10.99","7.44","12.3","0.852","49.9","5.49","-999","189.3","3.296","1"
"2","2018-11-07 06:45:00","10.99","7.42","13.2","0.85","47.7","5.25","-999","1.3","3.288","1"
"2","2018-11-07 06:30:00","10.99","7.42","13.3","0.847","49.6","5.46","-999","0.3","3.287","1"
